source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
org_units,departments,0.9355,org_units.unit_pk,departments.dept_id,0.9437
org_units,departments,0.9355,org_units.unit_title,departments.dept_name,0.8367
org_units,departments,0.9355,org_units.site_fk,departments.dept_id,0.9376
org_units,departments,0.9355,org_units.unit_head,departments.dept_name,0.9593
org_units,departments,0.9355,org_units.created_on,departments.created_at,1.0
staff,departments,0.9149,staff.staff_pk,departments.dept_id,0.8683
staff,departments,0.9149,staff.staff_fullname,departments.dept_name,0.892
staff,departments,0.9149,staff.unit_fk,departments.dept_id,0.8936
staff,departments,0.9149,staff.role_name,departments.dept_name,0.9206
staff,departments,0.9149,staff.joining_date,employees.hire_date,1.0
site_master,departments,0.8194,site_master.site_pk,employees.dept_id,0.75
site_master,departments,0.8194,site_master.site_title,departments.dept_name,0.8165
site_master,departments,0.8194,site_master.nation,locations.country,0.75
site_master,departments,0.8194,site_master.region,departments.dept_name,0.8044
site_master,departments,0.8194,site_master.created_on,departments.created_at,0.9762
learning_records,trainings,0.7794,learning_records.learning_pk,trainings.emp_id,0.7326
learning_records,trainings,0.7794,learning_records.staff_fk,departments.dept_id,0.8534
learning_records,trainings,0.7794,learning_records.course_name,trainings.training_name,0.7076
learning_records,trainings,0.7794,learning_records.course_dt,employees.hire_date,0.8713
learning_records,trainings,0.7794,learning_records.completion_status,trainings.status,0.7323
event_log,incidents,0.7783,event_log.event_pk,incidents.incident_id,0.7382
event_log,incidents,0.7783,event_log.staff_fk,employees.dept_id,0.75
event_log,incidents,0.7783,event_log.event_dt,employees.hire_date,0.9099
event_log,incidents,0.7783,event_log.event_category,incidents.incident_type,0.7435
event_log,incidents,0.7783,event_log.risk_level,incidents.severity,0.75
audit_checks,inspections,0.7763,audit_checks.audit_pk,inspections.location_id,0.7174
audit_checks,inspections,0.7763,audit_checks.site_fk,inspections.location_id,0.7497
audit_checks,inspections,0.7763,audit_checks.audit_dt,employees.hire_date,0.9144
audit_checks,inspections,0.7763,audit_checks.auditor,inspections.inspector_name,0.75
audit_checks,inspections,0.7763,audit_checks.audit_score,inspections.score,0.75
