source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
staff,inventory_weekly,0.8838,staff.staff_pk,inventory_weekly.units,0.9382
staff,inventory_weekly,0.8838,staff.staff_fullname,inventory_weekly.lvl_4_hrchy_desc,0.7307
staff,inventory_weekly,0.8838,staff.unit_fk,inventory_weekly.units,1.0
staff,inventory_weekly,0.8838,staff.role_name,inventory_weekly.lvl_4_hrchy_desc,0.75
staff,inventory_weekly,0.8838,staff.joining_date,inventory_weekly.week_datetime,1.0
org_units,inventory_weekly,0.8397,org_units.unit_pk,inventory_weekly.units,1.0
org_units,inventory_weekly,0.8397,org_units.unit_title,inventory_weekly.units,0.7346
org_units,inventory_weekly,0.8397,org_units.site_fk,inventory_weekly.units,0.9995
org_units,inventory_weekly,0.8397,org_units.unit_head,inventory_weekly.units,0.7286
org_units,inventory_weekly,0.8397,org_units.created_on,inventory_weekly.week_datetime,0.736
learning_records,inventory_weekly,0.7859,learning_records.learning_pk,inventory_weekly.min_stk_lvl_qty,0.7393
learning_records,inventory_weekly,0.7859,learning_records.staff_fk,inventory_weekly.hq_ln_abbr_cd,0.7244
learning_records,inventory_weekly,0.7859,learning_records.course_name,inventory_weekly.lvl_1_hrchy_desc,0.7275
learning_records,inventory_weekly,0.7859,learning_records.course_dt,inventory_weekly.week_datetime,0.9999
learning_records,inventory_weekly,0.7859,learning_records.completion_status,inventory_weekly.lvl_1_hrchy_desc,0.7384
event_log,inventory_weekly,0.7735,event_log.event_pk,inventory_weekly.max_stk_lvl_qty,0.732
event_log,inventory_weekly,0.7735,event_log.staff_fk,inventory_weekly.hq_ln_abbr_cd,0.7249
event_log,inventory_weekly,0.7735,event_log.event_dt,inventory_weekly.week_datetime,1.0
event_log,inventory_weekly,0.7735,event_log.event_category,inventory_weekly.lvl_1_hrchy_desc,0.6868
event_log,inventory_weekly,0.7735,event_log.risk_level,inventory_weekly.max_stk_lvl_qty,0.724
audit_checks,inventory_weekly,0.7193,audit_checks.audit_pk,inventory_weekly.max_stk_lvl_qty,0.7165
audit_checks,inventory_weekly,0.7193,audit_checks.site_fk,inventory_weekly.hq_ln_abbr_cd,0.7302
audit_checks,inventory_weekly,0.7193,audit_checks.audit_dt,inventory_weekly.week_datetime,1.0
audit_checks,inventory_weekly,0.7193,audit_checks.auditor,inventory_weekly.curr_ownshp_typ_cd,0.4
audit_checks,inventory_weekly,0.7193,audit_checks.audit_score,inventory_weekly.totals_impressions,0.75
site_master,inventory_weekly,0.7098,site_master.site_pk,inventory_weekly.hq_ln_abbr_cd,0.6767
site_master,inventory_weekly,0.7098,site_master.site_title,inventory_weekly.store_id,0.7057
site_master,inventory_weekly,0.7098,site_master.nation,inventory_weekly.store_id,0.7155
site_master,inventory_weekly,0.7098,site_master.region,inventory_weekly.hq_ln_abbr_cd,0.7013
site_master,inventory_weekly,0.7098,site_master.created_on,inventory_weekly.week_datetime,0.75
