source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
org_units,departments,0.9641,org_units.unit_pk,departments.dept_id,0.9431
org_units,departments,0.9641,org_units.unit_title,departments.dept_name,0.9297
org_units,departments,0.9641,org_units.site_fk,departments.dept_id,0.9817
org_units,departments,0.9641,org_units.unit_head,departments.dept_name,0.9661
org_units,departments,0.9641,org_units.created_on,departments.created_at,1.0
staff,departments,0.9265,staff.staff_pk,departments.dept_id,0.8825
staff,departments,0.9265,staff.staff_fullname,departments.dept_name,0.9207
staff,departments,0.9265,staff.unit_fk,departments.dept_id,0.9312
staff,departments,0.9265,staff.role_name,departments.dept_name,0.9145
staff,departments,0.9265,staff.joining_date,employees.hire_date,0.9835
learning_records,trainings,0.8062,learning_records.learning_pk,trainings.training_id,0.7396
learning_records,trainings,0.8062,learning_records.staff_fk,departments.dept_id,0.9169
learning_records,trainings,0.8062,learning_records.course_name,departments.dept_name,0.7996
learning_records,trainings,0.8062,learning_records.course_dt,employees.hire_date,0.8658
learning_records,trainings,0.8062,learning_records.completion_status,trainings.status,0.709
site_master,locations,0.8042,site_master.site_pk,locations.location_id,0.75
site_master,locations,0.8042,site_master.site_title,departments.dept_name,0.838
site_master,locations,0.8042,site_master.nation,locations.country,0.75
site_master,locations,0.8042,site_master.region,locations.state,0.7401
site_master,locations,0.8042,site_master.created_on,departments.created_at,0.9431
event_log,incidents,0.773,event_log.event_pk,incidents.incident_id,0.7381
event_log,incidents,0.773,event_log.staff_fk,employees.dept_id,0.75
event_log,incidents,0.773,event_log.event_dt,employees.hire_date,0.9038
event_log,incidents,0.773,event_log.event_category,incidents.incident_type,0.7232
event_log,incidents,0.773,event_log.risk_level,incidents.severity,0.75
audit_checks,inspections,0.7611,audit_checks.audit_pk,inspections.location_id,0.7165
audit_checks,inspections,0.7611,audit_checks.site_fk,inspections.location_id,0.7492
audit_checks,inspections,0.7611,audit_checks.audit_dt,employees.hire_date,0.8442
audit_checks,inspections,0.7611,audit_checks.auditor,inspections.inspector_name,0.75
audit_checks,inspections,0.7611,audit_checks.audit_score,inspections.score,0.7455
