source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
action_tracker,corrective_actions,0.9466,action_tracker.action_id,corrective_actions.action_ref,0.9597
action_tracker,corrective_actions,0.9466,action_tracker.incident_id,corrective_actions.action_ref,0.8571
action_tracker,corrective_actions,0.9466,action_tracker.action_item,corrective_actions.corrective_step,1.0
action_tracker,corrective_actions,0.9466,action_tracker.owner,corrective_actions.responsible_person,1.0
action_tracker,corrective_actions,0.9466,action_tracker.due_date,corrective_actions.target_date,1.0
action_tracker,corrective_actions,0.9466,action_tracker.action_status,corrective_actions.responsible_person,0.8626
trainings,safety_courses,0.8234,trainings.training_id,safety_courses.course_id,0.75
trainings,safety_courses,0.8234,trainings.employee_id,safety_courses.course_id,0.7123
trainings,safety_courses,0.8234,trainings.training_title,employee_info.designation,0.736
trainings,safety_courses,0.8234,trainings.completion_date,corrective_actions.target_date,0.9271
trainings,safety_courses,0.8234,trainings.status,corrective_actions.status,0.9917
risk_register,hazard_assessment,0.7466,risk_register.risk_id,hazard_assessment.hazard_id,0.75
risk_register,hazard_assessment,0.7466,risk_register.assessment_date,hazard_assessment.eval_date,0.75
risk_register,hazard_assessment,0.7466,risk_register.hazard_type,hazard_assessment.hazard_category,0.75
risk_register,hazard_assessment,0.7466,risk_register.hazard_description,hazard_assessment.hazard_desc,0.75
risk_register,hazard_assessment,0.7466,risk_register.risk_rating,hazard_assessment.hazard_id,0.7329
employees,employee_info,0.7343,employees.employee_id,employee_info.emp_code,0.75
employees,employee_info,0.7343,employees.full_name,employee_info.emp_name,0.7339
employees,employee_info,0.7343,employees.department,employee_info.dept,0.7112
employees,employee_info,0.7343,employees.job_title,employee_info.dept,0.7262
employees,employee_info,0.7343,employees.email,employee_info.email_address,0.75
incidents,incident_master,0.7265,incidents.incident_id,incident_master.inc_id,0.7301
incidents,incident_master,0.7265,incidents.incident_date,incident_master.inc_date,0.75
incidents,incident_master,0.7265,incidents.incident_category,incident_master.inc_type,0.7136
incidents,incident_master,0.7265,incidents.site_location,incident_master.plant_location,0.7253
incidents,incident_master,0.7265,incidents.severity,incident_master.risk_level,0.707
incidents,incident_master,0.7265,incidents.description,incident_master.inc_details,0.75
incidents,incident_master,0.7265,incidents.reported_by,incident_master.created_by,0.7094
