source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
org_units,departments,0.9411,org_units.unit_pk,departments.dept_id,0.9412
org_units,departments,0.9411,org_units.unit_title,departments.dept_name,0.9303
org_units,departments,0.9411,org_units.site_fk,departments.dept_id,0.9507
org_units,departments,0.9411,org_units.unit_head,departments.dept_name,0.9297
org_units,departments,0.9411,org_units.created_on,departments.created_at,0.9537
staff,departments,0.9047,staff.staff_pk,departments.dept_id,0.8645
staff,departments,0.9047,staff.staff_fullname,departments.dept_name,0.8904
staff,departments,0.9047,staff.unit_fk,departments.dept_id,0.8982
staff,departments,0.9047,staff.role_name,departments.dept_name,0.8869
staff,departments,0.9047,staff.joining_date,employees.hire_date,0.9837
site_master,locations,0.8087,site_master.site_pk,locations.location_id,0.7482
site_master,locations,0.8087,site_master.site_title,departments.dept_name,0.8442
site_master,locations,0.8087,site_master.nation,locations.country,0.75
site_master,locations,0.8087,site_master.region,locations.state,0.7496
site_master,locations,0.8087,site_master.created_on,departments.created_at,0.9517
learning_records,trainings,0.795,learning_records.learning_pk,trainings.training_id,0.75
learning_records,trainings,0.795,learning_records.staff_fk,departments.dept_id,0.867
learning_records,trainings,0.795,learning_records.course_name,departments.dept_name,0.8445
learning_records,trainings,0.795,learning_records.course_dt,employees.hire_date,0.8086
learning_records,trainings,0.795,learning_records.completion_status,trainings.status,0.7048
event_log,incidents,0.7665,event_log.event_pk,incidents.incident_id,0.7366
event_log,incidents,0.7665,event_log.staff_fk,employees.dept_id,0.75
event_log,incidents,0.7665,event_log.event_dt,employees.hire_date,0.846
event_log,incidents,0.7665,event_log.event_category,incidents.incident_type,0.75
event_log,incidents,0.7665,event_log.risk_level,incidents.severity,0.75
audit_checks,inspections,0.756,audit_checks.audit_pk,inspections.inspection_id,0.75
audit_checks,inspections,0.756,audit_checks.site_fk,inspections.location_id,0.75
audit_checks,inspections,0.756,audit_checks.audit_dt,employees.hire_date,0.8433
audit_checks,inspections,0.756,audit_checks.auditor,inspections.inspector_name,0.7116
audit_checks,inspections,0.756,audit_checks.audit_score,inspections.score,0.725
