source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
action_tracker,corrective_actions,0.948,action_tracker.action_id,corrective_actions.action_ref,0.9527
action_tracker,corrective_actions,0.948,action_tracker.incident_id,corrective_actions.action_ref,0.836
action_tracker,corrective_actions,0.948,action_tracker.action_item,corrective_actions.corrective_step,0.9918
action_tracker,corrective_actions,0.948,action_tracker.owner,corrective_actions.responsible_person,1.0
action_tracker,corrective_actions,0.948,action_tracker.due_date,corrective_actions.target_date,1.0
action_tracker,corrective_actions,0.948,action_tracker.action_status,corrective_actions.responsible_person,0.9074
trainings,safety_courses,0.8132,trainings.training_id,safety_courses.course_id,0.75
trainings,safety_courses,0.8132,trainings.employee_id,safety_courses.course_id,0.7211
trainings,safety_courses,0.8132,trainings.training_title,safety_courses.course_name,0.75
trainings,safety_courses,0.8132,trainings.completion_date,corrective_actions.target_date,0.8531
trainings,safety_courses,0.8132,trainings.status,corrective_actions.status,0.992
risk_register,hazard_assessment,0.7447,risk_register.risk_id,hazard_assessment.hazard_id,0.75
risk_register,hazard_assessment,0.7447,risk_register.assessment_date,corrective_actions.target_date,0.7777
risk_register,hazard_assessment,0.7447,risk_register.hazard_type,hazard_assessment.hazard_category,0.7136
risk_register,hazard_assessment,0.7447,risk_register.hazard_description,hazard_assessment.hazard_desc,0.75
risk_register,hazard_assessment,0.7447,risk_register.risk_rating,hazard_assessment.hazard_id,0.7322
employees,employee_info,0.7359,employees.employee_id,employee_info.emp_code,0.75
employees,employee_info,0.7359,employees.full_name,employee_info.emp_name,0.7334
employees,employee_info,0.7359,employees.department,employee_info.dept,0.7226
employees,employee_info,0.7359,employees.job_title,employee_info.designation,0.7235
employees,employee_info,0.7359,employees.email,employee_info.email_address,0.75
incidents,incident_master,0.7252,incidents.incident_id,incident_master.inc_id,0.7325
incidents,incident_master,0.7252,incidents.incident_date,incident_master.inc_date,0.75
incidents,incident_master,0.7252,incidents.incident_category,incident_master.inc_type,0.7024
incidents,incident_master,0.7252,incidents.site_location,incident_master.plant_location,0.723
incidents,incident_master,0.7252,incidents.severity,incident_master.risk_level,0.7039
incidents,incident_master,0.7252,incidents.description,incident_master.inc_details,0.75
incidents,incident_master,0.7252,incidents.reported_by,incident_master.created_by,0.7148
