source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
org_units,departments,0.9634,org_units.unit_pk,departments.dept_id,0.9413
org_units,departments,0.9634,org_units.unit_title,departments.dept_name,0.9288
org_units,departments,0.9634,org_units.site_fk,departments.dept_id,0.9822
org_units,departments,0.9634,org_units.unit_head,departments.dept_name,0.9647
org_units,departments,0.9634,org_units.created_on,departments.created_at,1.0
staff,departments,0.927,staff.staff_pk,departments.dept_id,0.8824
staff,departments,0.927,staff.staff_fullname,departments.dept_name,0.9139
staff,departments,0.927,staff.unit_fk,departments.dept_id,0.916
staff,departments,0.927,staff.role_name,departments.dept_name,0.9228
staff,departments,0.927,staff.joining_date,employees.hire_date,1.0
site_master,locations,0.8071,site_master.site_pk,locations.location_id,0.75
site_master,locations,0.8071,site_master.site_title,departments.dept_name,0.8385
site_master,locations,0.8071,site_master.nation,locations.country,0.75
site_master,locations,0.8071,site_master.region,locations.state,0.75
site_master,locations,0.8071,site_master.created_on,departments.created_at,0.947
learning_records,trainings,0.7906,learning_records.learning_pk,trainings.emp_id,0.7369
learning_records,trainings,0.7906,learning_records.staff_fk,departments.dept_id,0.9091
learning_records,trainings,0.7906,learning_records.course_name,departments.dept_name,0.8092
learning_records,trainings,0.7906,learning_records.course_dt,employees.hire_date,0.7773
learning_records,trainings,0.7906,learning_records.completion_status,trainings.status,0.7204
event_log,incidents,0.7668,event_log.event_pk,incidents.incident_id,0.7359
event_log,incidents,0.7668,event_log.staff_fk,employees.dept_id,0.75
event_log,incidents,0.7668,event_log.event_dt,employees.hire_date,0.88
event_log,incidents,0.7668,event_log.event_category,incidents.incident_type,0.7179
event_log,incidents,0.7668,event_log.risk_level,incidents.severity,0.75
audit_checks,inspections,0.7388,audit_checks.audit_pk,inspections.inspection_id,0.7262
audit_checks,inspections,0.7388,audit_checks.site_fk,inspections.location_id,0.75
audit_checks,inspections,0.7388,audit_checks.audit_dt,inspections.inspection_date,0.7179
audit_checks,inspections,0.7388,audit_checks.auditor,inspections.inspector_name,0.75
audit_checks,inspections,0.7388,audit_checks.audit_score,inspections.score,0.75
