source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
inspections,audit_checks,0.9562,inspections.inspection_id,audit_checks.audit_pk,0.9658
inspections,audit_checks,0.9562,inspections.location_id,audit_checks.audit_pk,0.9297
inspections,audit_checks,0.9562,inspections.inspection_date,audit_checks.audit_dt,1.0
inspections,audit_checks,0.9562,inspections.inspector_name,audit_checks.auditor,1.0
inspections,audit_checks,0.9562,inspections.score,audit_checks.audit_pk,0.8855
departments,staff,0.7956,departments.dept_id,staff.unit_fk,0.7426
departments,staff,0.7956,departments.dept_name,staff.staff_fullname,0.75
departments,staff,0.7956,departments.location_id,learning_records.staff_fk,0.7353
departments,staff,0.7956,departments.manager_name,staff.role_name,0.75
departments,staff,0.7956,departments.created_at,org_units.created_on,1.0
locations,org_units,0.7864,locations.location_id,org_units.site_fk,0.75
locations,org_units,0.7864,locations.location_name,staff.staff_fullname,0.7111
locations,org_units,0.7864,locations.country,site_master.region,0.7266
locations,org_units,0.7864,locations.state,site_master.region,0.75
locations,org_units,0.7864,locations.created_at,org_units.created_on,0.9941
employees,staff,0.7376,employees.emp_id,staff.staff_pk,0.7183
employees,staff,0.7376,employees.emp_name,staff.role_name,0.7484
employees,staff,0.7376,employees.dept_id,staff.unit_fk,0.7379
employees,staff,0.7376,employees.job_title,staff.staff_fullname,0.7334
employees,staff,0.7376,employees.hire_date,staff.joining_date,0.75
incidents,event_log,0.7354,incidents.incident_id,event_log.event_pk,0.7179
incidents,event_log,0.7354,incidents.emp_id,event_log.staff_fk,0.75
incidents,event_log,0.7354,incidents.incident_date,event_log.event_dt,0.75
incidents,event_log,0.7354,incidents.incident_type,event_log.risk_level,0.7093
incidents,event_log,0.7354,incidents.severity,event_log.risk_level,0.75
trainings,learning_records,0.7354,trainings.training_id,learning_records.staff_fk,0.75
trainings,learning_records,0.7354,trainings.emp_id,learning_records.staff_fk,0.75
trainings,learning_records,0.7354,trainings.training_name,learning_records.course_name,0.75
trainings,learning_records,0.7354,trainings.training_date,learning_records.course_dt,0.7264
trainings,learning_records,0.7354,trainings.status,learning_records.completion_status,0.7007
