source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
action_tracker,corrective_actions,0.9264,action_tracker.action_id,corrective_actions.action_ref,0.9519
action_tracker,corrective_actions,0.9264,action_tracker.incident_id,corrective_actions.action_ref,0.8564
action_tracker,corrective_actions,0.9264,action_tracker.action_item,corrective_actions.corrective_step,1.0
action_tracker,corrective_actions,0.9264,action_tracker.owner,corrective_actions.responsible_person,1.0
action_tracker,corrective_actions,0.9264,action_tracker.due_date,corrective_actions.target_date,1.0
action_tracker,corrective_actions,0.9264,action_tracker.action_status,corrective_actions.status,0.75
trainings,employee_info,0.8307,trainings.training_id,safety_courses.course_id,0.75
trainings,employee_info,0.8307,trainings.employee_id,employee_info.emp_code,0.75
trainings,employee_info,0.8307,trainings.training_title,employee_info.designation,0.7399
trainings,employee_info,0.8307,trainings.completion_date,corrective_actions.target_date,0.9302
trainings,employee_info,0.8307,trainings.status,corrective_actions.status,0.9834
employees,employee_info,0.7352,employees.employee_id,employee_info.emp_code,0.75
employees,employee_info,0.7352,employees.full_name,employee_info.emp_name,0.7331
employees,employee_info,0.7352,employees.department,employee_info.dept,0.7186
employees,employee_info,0.7352,employees.job_title,employee_info.designation,0.7243
employees,employee_info,0.7352,employees.email,employee_info.email_address,0.75
risk_register,hazard_assessment,0.732,risk_register.risk_id,hazard_assessment.hazard_id,0.7063
risk_register,hazard_assessment,0.732,risk_register.assessment_date,hazard_assessment.eval_date,0.75
risk_register,hazard_assessment,0.732,risk_register.hazard_type,hazard_assessment.hazard_category,0.7053
risk_register,hazard_assessment,0.732,risk_register.hazard_description,hazard_assessment.hazard_desc,0.7484
risk_register,hazard_assessment,0.732,risk_register.risk_rating,hazard_assessment.score,0.75
incidents,incident_master,0.7297,incidents.incident_id,incident_master.inc_id,0.7425
incidents,incident_master,0.7297,incidents.incident_date,incident_master.inc_date,0.75
incidents,incident_master,0.7297,incidents.incident_category,incident_master.inc_type,0.7134
incidents,incident_master,0.7297,incidents.site_location,incident_master.plant_location,0.7178
incidents,incident_master,0.7297,incidents.severity,hazard_assessment.hazard_category,0.7265
incidents,incident_master,0.7297,incidents.description,incident_master.inc_details,0.75
incidents,incident_master,0.7297,incidents.reported_by,incident_master.inc_id,0.7078
