source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
inspections,audit_checks,0.9605,inspections.inspection_id,audit_checks.audit_pk,0.9677
inspections,audit_checks,0.9605,inspections.location_id,audit_checks.audit_pk,0.9696
inspections,audit_checks,0.9605,inspections.inspection_date,audit_checks.audit_dt,1.0
inspections,audit_checks,0.9605,inspections.inspector_name,audit_checks.auditor,1.0
inspections,audit_checks,0.9605,inspections.score,audit_checks.audit_pk,0.8652
locations,org_units,0.7984,locations.location_id,org_units.site_fk,0.7491
locations,org_units,0.7984,locations.location_name,staff.staff_fullname,0.75
locations,org_units,0.7984,locations.country,site_master.region,0.7428
locations,org_units,0.7984,locations.state,site_master.region,0.75
locations,org_units,0.7984,locations.created_at,org_units.created_on,1.0
departments,staff,0.7907,departments.dept_id,staff.unit_fk,0.75
departments,staff,0.7907,departments.dept_name,staff.staff_fullname,0.75
departments,staff,0.7907,departments.location_id,staff.unit_fk,0.7478
departments,staff,0.7907,departments.manager_name,staff.staff_fullname,0.7466
departments,staff,0.7907,departments.created_at,org_units.created_on,0.959
incidents,event_log,0.7692,incidents.incident_id,event_log.risk_level,0.75
incidents,event_log,0.7692,incidents.emp_id,event_log.risk_level,0.7292
incidents,event_log,0.7692,incidents.incident_date,audit_checks.audit_dt,0.9171
incidents,event_log,0.7692,incidents.incident_type,event_log.event_category,0.6996
incidents,event_log,0.7692,incidents.severity,event_log.risk_level,0.75
employees,staff,0.7315,employees.emp_id,staff.staff_pk,0.7245
employees,staff,0.7315,employees.emp_name,staff.role_name,0.7371
employees,staff,0.7315,employees.dept_id,staff.staff_pk,0.7139
employees,staff,0.7315,employees.job_title,staff.staff_fullname,0.7318
employees,staff,0.7315,employees.hire_date,staff.joining_date,0.75
trainings,learning_records,0.7098,trainings.training_id,learning_records.staff_fk,0.7196
trainings,learning_records,0.7098,trainings.emp_id,learning_records.staff_fk,0.7122
trainings,learning_records,0.7098,trainings.training_name,learning_records.course_name,0.6968
trainings,learning_records,0.7098,trainings.training_date,learning_records.course_dt,0.7202
trainings,learning_records,0.7098,trainings.status,learning_records.completion_status,0.7004
