source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
inspections,audit_checks,0.78,inspections.inspection_id,audit_checks.audit_score,0.75
inspections,audit_checks,0.78,inspections.location_id,audit_checks.site_fk,0.4
inspections,audit_checks,0.78,inspections.inspection_date,audit_checks.audit_dt,1.0
inspections,audit_checks,0.78,inspections.inspector_name,audit_checks.auditor,1.0
inspections,audit_checks,0.78,inspections.score,audit_checks.audit_score,0.75
incidents,event_log,0.68,incidents.incident_id,event_log.event_pk,0.4
incidents,event_log,0.68,incidents.emp_id,event_log.staff_fk,0.75
incidents,event_log,0.68,incidents.incident_date,event_log.event_dt,0.75
incidents,event_log,0.68,incidents.incident_type,event_log.event_category,0.75
incidents,event_log,0.68,incidents.severity,event_log.risk_level,0.75
trainings,learning_records,0.68,trainings.training_id,learning_records.learning_pk,0.4
trainings,learning_records,0.68,trainings.emp_id,learning_records.staff_fk,0.75
trainings,learning_records,0.68,trainings.training_name,learning_records.course_name,0.75
trainings,learning_records,0.68,trainings.training_date,learning_records.course_dt,0.75
trainings,learning_records,0.68,trainings.status,learning_records.completion_status,0.75
departments,staff,0.66,departments.dept_id,staff.unit_fk,0.4
departments,staff,0.66,departments.dept_name,staff.staff_fullname,0.75
departments,staff,0.66,departments.location_id,staff.unit_fk,0.4
departments,staff,0.66,departments.manager_name,staff.staff_fullname,0.75
departments,staff,0.66,departments.created_at,org_units.created_on,1.0
employees,staff,0.61,employees.emp_id,staff.staff_pk,0.4
employees,staff,0.61,employees.emp_name,staff.staff_fullname,0.75
employees,staff,0.61,employees.dept_id,staff.unit_fk,0.4
employees,staff,0.61,employees.job_title,staff.role_name,0.75
employees,staff,0.61,employees.hire_date,staff.joining_date,0.75
locations,site_master,0.51,locations.location_id,event_log.event_pk,0.4
locations,site_master,0.51,locations.location_name,site_master.region,0.4
locations,site_master,0.51,locations.country,site_master.nation,0.4
locations,site_master,0.51,locations.state,site_master.region,0.75
locations,site_master,0.51,locations.created_at,org_units.created_on,0.6
