source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
inspections,audit_checks,0.9674,inspections.inspection_id,audit_checks.audit_pk,0.9708
inspections,audit_checks,0.9674,inspections.location_id,audit_checks.audit_pk,0.9665
inspections,audit_checks,0.9674,inspections.inspection_date,audit_checks.audit_dt,1.0
inspections,audit_checks,0.9674,inspections.inspector_name,audit_checks.auditor,1.0
inspections,audit_checks,0.9674,inspections.score,audit_checks.audit_pk,0.8997
departments,staff,0.7964,departments.dept_id,staff.unit_fk,0.7498
departments,staff,0.7964,departments.dept_name,staff.staff_fullname,0.75
departments,staff,0.7964,departments.location_id,learning_records.staff_fk,0.7464
departments,staff,0.7964,departments.manager_name,staff.staff_fullname,0.7491
departments,staff,0.7964,departments.created_at,org_units.created_on,0.9868
locations,org_units,0.7907,locations.location_id,org_units.site_fk,0.75
locations,org_units,0.7907,locations.location_name,staff.staff_fullname,0.7412
locations,org_units,0.7907,locations.country,site_master.region,0.7179
locations,org_units,0.7907,locations.state,site_master.region,0.75
locations,org_units,0.7907,locations.created_at,org_units.created_on,0.9943
incidents,event_log,0.7647,incidents.incident_id,event_log.staff_fk,0.7488
incidents,event_log,0.7647,incidents.emp_id,event_log.staff_fk,0.6841
incidents,event_log,0.7647,incidents.incident_date,audit_checks.audit_dt,0.9385
incidents,event_log,0.7647,incidents.incident_type,event_log.event_category,0.7268
incidents,event_log,0.7647,incidents.severity,event_log.risk_level,0.7252
employees,staff,0.7411,employees.emp_id,staff.staff_pk,0.7187
employees,staff,0.7411,employees.emp_name,staff.role_name,0.7398
employees,staff,0.7411,employees.dept_id,learning_records.staff_fk,0.75
employees,staff,0.7411,employees.job_title,staff.role_name,0.747
employees,staff,0.7411,employees.hire_date,staff.joining_date,0.75
trainings,learning_records,0.7226,trainings.training_id,learning_records.staff_fk,0.7222
trainings,learning_records,0.7226,trainings.emp_id,learning_records.staff_fk,0.75
trainings,learning_records,0.7226,trainings.training_name,learning_records.course_name,0.7125
trainings,learning_records,0.7226,trainings.training_date,learning_records.course_dt,0.75
trainings,learning_records,0.7226,trainings.status,learning_records.completion_status,0.6785
